"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'","dB(GainTotal) [] - Freq='10GHz' Phi='90deg'"
42,-12.4931424464271,-17.3896242837146
43,-13.6615940017384,-18.7083781685038
44,-14.9522653342139,-19.802530392689
45,-16.3376020914696,-20.4518152104139
46,-17.7825419284652,-20.5774711909821
47,-19.2445455707222,-20.3184314940502
48,-20.6780096307542,-19.9010722595664
49,-22.0446659446229,-19.4994513848523
50,-23.3275634666036,-19.207900195723
51,-24.5411771762851,-19.0674390247422
52,-25.7308436874863,-19.0922038962536
53,-26.962716631897,-19.2848726793265
54,-28.311488194877,-19.644264921229
55,-29.8493447279864,-20.1688437133471
56,-31.6255740620735,-20.8582578031855
57,-33.5919459601196,-21.7139071451952
58,-35.365001466506,-22.7388230418898
59,-35.9868156170091,-23.9365900574467
60,-34.9548645437993,-25.3082045226372
61,-33.1352915543271,-26.8440747398173
62,-31.3232604565084,-28.5051343008973
63,-29.7628661982331,-30.1842070648399
64,-28.4734380471418,-31.6546430306006
65,-27.421844209502,-32.5932159602769
66,-26.5702736988484,-32.8082751404623
67,-25.8864173745255,-32.447323258455
68,-25.3443118653699,-31.8240789769037
69,-24.9232307160493,-31.1704447748718
70,-24.6064310036042,-30.5943252255818
71,-24.3801337765865,-30.1290552537117
72,-24.2327622917262,-29.7745396853677
73,-24.1543879397879,-29.517933940969
74,-24.1363302821102,-29.3425448083849
75,-24.1708688028408,-29.2314618475865
76,-24.2510355030191,-29.1690335630921
77,-24.3704663782972,-29.1414991852594
78,-24.5232961375613,-29.1372869681429
79,-24.7040848449444,-29.1471519255676
80,-24.9077681066924,-29.1641912722368
81,-25.1296244526726,-29.1837350131393
82,-25.3652550292959,-29.2031127827758
83,-25.6105718719939,-29.2213185442379
84,-25.8617920204997,-29.2386140722939
85,-26.1154356612471,-29.2561202447867
86,-26.368327339045,-29.2754400898238
87,-26.6176000221487,-29.2983433109683
88,-26.8607023297611,-29.3265249136982
89,-27.0954094137032,-29.3614357701872
90,-27.3198377112186,-29.4041730542447
91,-27.5324629874675,-29.4554136130754
92,-27.7321397846373,-29.5153723159471
93,-27.9181187214282,-29.5837687199792
94,-28.0900562853851,-29.6597878638025
95,-28.2480101540053,-29.7420241217362
96,-28.392412008592,-29.828400991556
97,-28.5240095507592,-29.9160652469368
98,-28.6437701741423,-30.0012623547502
99,-28.752740578427,-30.0792128804562
100,-28.8518596704696,-30.1440275463331
101,-28.9417267544214,-30.1887201080587
102,-29.0223341170367,-30.2053959194668
103,-29.0927840601904,-30.1856966793122
104,-29.1510267865289,-30.1215497293791
105,-29.1936777727812,-30.0061892940165
106,-29.2159981512696,-29.8352966153957
107,-29.2121386785585,-29.6079942971162
108,-29.1757372352969,-29.3274013132244
109,-29.1008973165,-29.0005569760349
110,-28.9834505318562,-28.637723001578
111,-28.8222507692579,-28.2512685834175
112,-28.6201430185141,-27.854433715521
113,-28.3842867381729,-27.4602266481073
114,-28.1257108738446,-27.0805948590352
115,-27.8582398248353,-26.7258888138053
116,-27.5971096126499,-26.4045593690151
117,-27.3576079381228,-26.1230002349866
118,-27.1539516507954,-25.8854524611034
119,-26.9984542212865,-25.6939119181337
120,-26.900911731112,-25.5480135648103
121,-26.8680766481615,-25.4449060466024
122,-26.9030884429983,-25.379179165829
123,-27.0047801806264,-25.3429647541885
124,-27.1668892949103,-25.3263859630759
125,-27.3773945502697,-25.3185459473921
126,-27.6184873935059,-25.3091683051239
127,-27.8679636931812,-25.2907859589917
128,-28.1027700388795,-25.2610653581271
129,-28.3046008156027,-25.2246249579367
130,-28.465821243394,-25.1937828792649
131,-28.592764248234,-25.1880986711972
132,-28.7042568357244,-25.2331226627812
133,-28.8259038545873,-25.3591028936291
134,-28.9827912580556,-25.6004087146545
135,-29.1931522012799,-25.9962916937106
136,-29.4639825970349,-26.593633715811
137,-29.7882759224699,-27.4528864234666
138,-30.1431173334377,-28.6601426110154
139,-30.4880870433054,-30.3532121142035
140,-30.7642566454338,-32.7849098401519
141,-30.8964361764303,-36.4959001443496
142,-30.8054260288459,-42.4768037772762
143,-30.4364388799947,-42.6061550704476
144,-29.7932416307846,-36.2520542933546
145,-28.9480309021169,-32.1418584479739
146,-28.013950415819,-29.2846237583763
147,-27.1055421789763,-27.1074978836677
148,-26.315034122593,-25.3467210409251
149,-25.7072954718289,-23.8705082411586
150,-25.3226793287907,-22.613719840131
151,-25.1779628391755,-21.5486623637266
152,-25.2586091999434,-20.6686432540102
153,-25.4969657539919,-19.9773599717835
154,-25.7405405105758,-19.4816975798508
155,-25.7559410369084,-19.1862269942207
156,-25.3552553436479,-19.0872767256947
157,-24.5769204256856,-19.1636025559077
158,-23.6574900066709,-19.3600309671872
159,-22.8411437396799,-19.5637117137202
160,-22.2801879470945,-19.5908729084781
161,-22.0330513550657,-19.2360412078841
162,-22.0562624421817,-18.4035115280474
163,-22.1297322546219,-17.1834573317999
164,-21.7713540242592,-15.7600817494084
165,-20.5102941221429,-14.2879784590912
166,-18.4769186606913,-12.8553442356689
167,-16.1930290290843,-11.5016895310101
168,-14.01059521527,-10.2413145577994
169,-12.0531040417837,-9.07802285266438
170,-10.336391496966,-8.01219224045944
171,-8.84143616999771,-7.0435383199069
172,-7.54281368788222,-6.17189356152293
173,-6.41840565081082,-5.39725439023143
174,-5.45216556366613,-4.71966868053351
175,-4.63419703753523,-4.13916726516599
176,-3.95969692315972,-3.65577131709033
177,-3.42746676418852,-3.26954775373193
178,-3.03840910360708,-2.98067997763654
179,-2.79426662267071,-2.78953622943958
180,-2.69673365809892,-2.69673365809891
